PERMNO,CUSIP,TICKER_CRDS,TICKER
70536,82655210,SIAL,SIAL
70578,27886510,ECL,ECL
71175,91529Y10,UNM,UNM
71563,89832Q10,BBT,BBT
71563,89832Q10,TFC,BBT
73139,86366710,SYK,SYK
75034,05722G10,BHGE,BHGE
75034,05722G10,BKR,BHGE
75100,88654710,TIF,TIF
75107,365410,ABMD,ABMD
75154,14365830,CCL,CCL
75186,80851310,SCHW,SCHW
75224,41308610,HAR,HAR
75241,72378710,PXD,PXD
75257,87966410,TLAB,TLAB
75341,26441150,DRE,DRE
75489,85503010,SPLS,SPLS
75510,00724F10,ADBE,ADBE
75573,88337F10,ODP,ODP
75577,2144110,ALTR,ALTR
75591,45167R10,IEX,IEX
75592,72925110,PCL,PCL
75607,66877110,SYMC,SYMC
75607,66877110,NLOK,SYMC
75631,82301410,TFC,TFC
75646,1849010,AGN,AGN
75819,92276F10,VTR,VTR
75825,26875P10,EOG,EOG
75828,28551210,EA,EA
76076,17275R10,CSCO,CSCO
76082,12709710,COG,COG
76095,43644010,HOLX,HOLX
76149,78651420,SWY,SWY
76185,90225210,TYL,TYL
76201,98391910,XLNX,XLNX
76226,92556H20,VIA,VIA
76226,92556H20,CBS,CBS
76226,92556H20,VIAC,VIAC
76240,5548210,BJS,BJS
76282,05329W10,AN,AN
76605,5333210,AZO,AZO
76614,75886F10,REGN,REGN
76619,22286210,CVH,CVH
76625,15670810,CEPH,CEPH
76639,89190610,TSS,TSS
76644,91290910,X,X
76708,00737L10,ATGE,ATGE
76709,45168D10,IDXX,IDXX
76712,00130H10,AES,AES
76744,92532F10,VRTX,VRTX
76795,98920710,ZBRA,ZBRA
76841,09062X10,BIIB,BIIB
77037,67958010,ODFL,ODFL
77129,49446R10,KIM,KIM
77157,67098H10,OI,OI
77178,74752510,QCOM,QCOM
77182,G9782210,PRGO,PRGO
77274,37555810,GILD,GILD
77281,96683710,WFM,WFM
77338,77669610,ROP,ROP
77357,87160710,SNPS,SNPS
77418,88731730,TWX,TWX
77462,55616P10,M,M
77481,28336L10,EP,EP
77496,60819010,MHK,MHK
77605,10113710,BSX,BSX
77649,G8473T10,STE,STE
77659,7589610,BBBY,BBBY
77661,23331A10,DHI,DHI
77668,30219G10,ESRX,ESRX
77702,85524410,SBUX,SBUX
77730,90249410,TSN,TSN
77976,57906410,MFE,MFE
78034,70339510,PDCO,PDCO
78139,20563810,CPWR,CPWR
78877,16516774,CHK,CHK
78916,G0177J10,AGN,AGN
78975,46120210,INTU,INTU
78987,59501710,MCHP,MCHP
79057,H1467J10,CB,CB
79089,34988V10,FOSL,FOSL
79094,46631310,JBL,JBL
79103,67103H10,ORLY,ORLY
79129,11282X10,GGP,GGP
79145,V7780T10,RCL,RCL
79212,98385X10,XTO,XTO
79237,H8817H10,RIG,RIG
79265,30244510,FLIR,FLIR
