PERMNO,CUSIP,TICKER_CRDS,TICKER,Unnamed: 4
12448,33616C10,FRC,FRC,
12450,34954W10,FRF,FRF,
12451,36268W10,GCAP,GCAP,
12452,45685K10,INFU,INFU,
12456,62009710,MMI,MMI,
12458,78375P10,RT,RT,
12458,78375P10,RYI,RYI,
12473,49904910,SWFT,SWFT,
12473,49904910,KNX,KNX,
12476,87612G10,TRGP,TRGP,
12477,93148P10,WD,WD,
12479,G0636810,AAC,AAC,
12480,86810,ACNB,ACNB,
12485,83002F10,SIXD,SIXD,
12489,83084G10,MOBI,MOBI,
12493,74727D30,QADA,QADA,
12494,76658210,RNET,RNET,
12496,90457220,UNXL,UNXL,
12497,4539610,ASMB,ASMB,
12501,30556030,FRP,FRP,
12502,67560710,OFED,OFED,
12503,6.39E+14,NAV,NAV,
12513,2401310,AAT,AAT,
12515,06652K10,BKU,BKU,
12521,52177G10,LEAF,LEAF,
12527,45103320,IBIO,IBIO,
12528,58503F50,MCC,MCC,
12546,45325840,N,N,
12557,29102N10,EMG,EMG,
12559,64051T10,NPTN,NPTN,
12566,86608210,INN,INN,
12573,00444T10,ACRX,ACRX,
12574,08861T20,BGMD,BGMD,
12575,29269A10,ECYT,ECYT,
12576,29429D10,EPOC,EPOC,
12579,37439640,GEVO,GEVO,
12581,60689B10,MODL,MODL,
12583,69512710,PCRX,PCRX,
12584,83416M10,SUNS,SUNS,
12585,87080830,SWSH,SWSH,
12587,N9661711,WMGI,WMGI,
12588,90333L20,USCR,USCR,
12592,98420P30,XTNT,XTNT,
12612,34416W86,FCL,FCL,
12614,34416W88,FBM,FBM,
12615,36116M10,FF,FF,
12637,29101U40,EOX,EOX,
12638,97717X84,ALD,ALD,
12639,21925Y10,CSOD,CSOD,
12645,28849P10,ELLI,ELLI,
12650,48517030,KSU,KSU,
12660,36191G10,GNC,GNC,
12667,00835P10,GNMX,GNMX,
12668,74039L10,APTS,APTS,
12681,85254J10,STAG,STAG,
12682,87261Q10,TMS,TMS,
12688,35353C10,FRNK,FRNK,
12690,86887Q10,GSVC,GSVC,
12691,76124810,MKTG,MKTG,
12693,70806A10,PFLT,PFLT,
12695,78669210,SGNT,SGNT,
12696,85619010,STBZ,STBZ,
12697,33766Y10,SVVC,SVVC,
12700,98974X10,ZIP,ZIP,
12718,11283W10,BRP,BRP,
12719,00506D10,ACTV,ACTV,
12744,92189F47,EMAG,EMAG,
12747,64755110,NMFC,NMFC,
12756,74965L10,RLJ,RLJ,
12758,91734M10,ECOL,ECOL,
12760,76150520,RVM,RVM,
12781,84857L10,SR,SR,
12782,79471T10,SMF,SMF,
12783,88362T10,THR,THR,
12785,9.13E+14,UAM,UAM,
12788,50068810,KOS,KOS,
12789,03209T10,AMPE,AMPE,
12792,37951D30,EAGL,EAGL,
12792,37951D30,ENT,ENT,
12793,35845330,FFN,FFN,
12795,74972G10,RPXC,RPXC,
12796,84857710,SAVE,SAVE,
12797,88105A10,TVIA,TVIA,
12798,09739C10,WIFI,WIFI,
12828,122810,MITT,MITT,
12835,06647F10,RATE,RATE,
12852,25459Y87,CURE,CURE,
12865,36112J10,FIO,FIO,
12873,69835410,P,P,
12879,92203620,VHS,VHS,
12880,00164V10,AMCX,AMCX,
12881,1.87E+22,ATNY,ATNY,
12884,31985010,FBNK,FBNK,
12885,31650010,FDUS,FDUS,
12887,49721710,KIOR,KIOR,
12890,88338H10,THER,THER,
12893,03763V10,AMTG,AMTG,
12894,G3164Q10,CJES,CJES,
12903,80352110,SARA,SARA,
12905,86722A10,SXC,SXC,
12906,78470V10,SYRG,SYRG,
12906,78470V10,SRCI,SRCI,
12907,87819P10,TEA,TEA,
12908,95081410,WAIR,WAIR,
12913,16308610,CHEF,CHEF,
12915,35179320,FRAN,FRAN,
12916,42003110,HCOM,HCOM,
12919,G4618810,HZNP,HZNP,
12922,83083J10,SKUL,SKUL,
12924,87582Y10,TNGO,TNGO,
12927,98954M10,ZG,ZG,
12957,80007A10,PER,PER,
12959,02318N20,AMBT,AMBT,
12960,14133710,CARB,CARB,
12965,55378A10,MTGE,MTGE,
12967,69706220,PLMT,PLMT,
12974,33738C10,FIF,FIF,
12988,00110G30,SIZ,SIZ,
13003,92339V30,VER,VER,
13006,30962710,FMNB,FMNB,
13007,50181P10,LCNB,LCNB,
13008,85571Q10,LMCA,LMCA,
13013,G6696411,ORIG,ORIG,
13019,37228420,GNE,GNE,
13036,00213T10,ASBB,ASBB,
13037,05573H10,BLMT,BLMT,
13041,55028310,LMOS,LMOS,
13046,90353W10,UBNT,UBNT,
13049,98933Q10,ZLTQ,ZLTQ,
13056,2637510,AM,AM,
13078,25386U10,DDMG,DDMG,
13080,45321L10,IMPV,IMPV,
13081,46123D20,INVN,INVN,
13084,56382Q10,MN,MN,
13085,57164Y10,VAC,VAC,
13086,72201R74,AUD,AUD,
13097,01627X10,ALO,ALO,
13104,L7257P11,PACD,PACD,
13105,00404A10,ACHC,ACHC,
13106,3475410,ANGI,ANGI,
13107,18946410,CLVS,CLVS,
13108,39947320,GRPN,GRPN,
13109,45882D10,IMI,IMI,
13110,57722W10,MFRM,MFRM,
13111,55028X10,NLNK,NLNK,
13112,65655930,NTK,NTK,
13113,53240320,LLEX,LLEX,
13115,68569140,OSH,OSH,
13119,57859210,MYG,MYG,
13121,69946T20,TEUM,TEUM,
13124,51680620,LPI,LPI,
13134,77928710,RSE,RSE,
13139,79970Y10,SN,SN,
13159,34960Q10,FBIO,FBIO,
13160,47760A10,JIVE,JIVE,
13167,87163930,SGYP,SGYP,
13181,40171V10,GWRE,GWRE,
13188,73744610,POST,POST,
13196,75025X10,RLGT,RLGT,
13201,75972A30,REGI,REGI,
13202,92337C10,VSTM,VSTM,
13210,29414B10,EPAM,EPAM,
13225,36191X10,GSE,GSE,
13227,39679B10,GWAY,GWAY,
13244,57648520,MTDR,MTDR,
13249,74371310,PRLB,PRLB,
13250,77926810,RNDY,RNDY,
13255,N0783110,AVG,AVG,
13260,10921T10,BCOV,BCOV,
13261,7327110,BV,BV,
13262,16383L10,CCXI,CCXI,
13263,58549G20,CEMP,CEMP,
13263,58549G20,MLNT,MLNT,
13264,15677340,CERE,CERE,
13265,68559A10,CUI,CUI,
13267,12768610,CZR,CZR,
13277,G6648D10,HLSS,HLSS,
13278,43785V10,HMST,HMST,
13280,87156110,SYNC,SYNC,
13285,03600T10,BNNY,BNNY,
13292,24802Y10,DWRE,DWRE,
13294,30064K10,ET,ET,
13298,60040N10,MM,MM,
13299,63861C10,NSM,NSM,
13303,62915640,NL,NL,
13304,2735210,AMSY,AMSY,
13309,81618T10,SIR,SIR,
13316,92857F10,VCRA,VCRA,
