PERMNO,CUSIP,TICKER_CRDS,TICKER
86996,78410G10,SBAC,SBAC
87055,22160K10,COST,COST
87137,25179M10,DVN,DVN
87267,09247X10,BLK,BLK
87299,00971T10,AKAM,AKAM
87378,16117M10,CHTR,CHTR
87432,00846U10,A,A
87445,87936010,TDY,TDY
87447,91131210,UPS,UPS
87541,69515610,PKG,PKG
87657,2.82E+14,EW,EW
87717,30213010,EXPD,EXPD
87842,59156R10,MET,MET
88031,61174X10,MNST,MNST
88352,4.61E+64,ISRG,ISRG
88446,45232710,ILMN,ILMN
88614,92851S20,V,V
88661,87603010,TPR,TPR
88664,42628110,JKHY,JKHY
88837,H2906T10,GRMN,GRMN
88860,1625510,ALGN,ALGN
88873,37940X10,GPN,GPN
89003,31620M10,FIS,FIS
89004,30249U10,FTI,FTI
89006,60920710,MDLZ,MDLZ
89017,G9662910,WLTW,WLTW
89070,98956P10,ZBH,ZBH
89071,G1151C10,ACN,ACN
89130,53071810,L,L
89179,3675210,ANTM,ANTM
89195,74251V10,PFG,PFG
89217,00751Y10,AAP,AAP
89258,74432010,PRU,PRU
89269,15135B10,CNC,CNC
89393,64110L10,NFLX,NFLX
89508,14313010,KMX,KMX
89525,20030N10,CMCSA,CMCSA
89533,98313410,WYNN,WYNN
89617,29444U70,EQIX,EQIX
89626,12572Q10,CME,CME
89641,G7945M10,STX,STX
89866,50188920,LKQ,LKQ
89986,33942T20,FLT,FLT
90038,04621X10,AIZ,AIZ
90071,62937750,NRG,NRG
90199,12504L10,CBRE,CBRE
90215,79466L30,CRM,CRM
90248,25754A20,DPZ,DPZ
90305,30225T10,EXR,EXR
90319,02079K30,GOOG,GOOG
90319,02079K30,GOOGL,GOOGL
90373,25386810,DLR,DLR
90386,61945C10,MOS,MOS
90441,90130A30,NWS,NWS
90441,90130A30,NWSA,NWSA
90441,90130A30,FOXA,FOXA
90442,90130A40,NWS,NWS
90442,90130A40,FOX,FOX
90454,57060D10,MKTX,MKTX
90505,51783410,LVS,LVS
90520,15087010,CE,CE
90546,92554J10,VIAC,VIAC
90601,63110310,NDAQ,NDAQ
90664,25213110,DXCM,DXCM
90805,25470F10,DISCA,DISCA
90808,30212P30,EXPE,EXPE
90829,12526910,CF,CF
90880,03076C10,AMP,AMP
90979,90431110,UA,UA
90979,90431110,UAA,UAA
90993,45866F10,ICE,ICE
91041,53803410,LYV,LYV
91068,16965610,CMG,CMG
91103,91004710,UAL,UAL
91152,89364110,TDG,TDG
91233,57636Q10,MA,MA
91416,41034510,HBI,HBI
91461,95980210,WU,WU
91547,52532710,LDOS,LDOS
91556,77829610,ROST,ROST
91668,44980X10,IPGP,IPGP
91849,11133T10,BR,BR
91926,24736170,DAL,DAL
91937,87259010,TMUS,TMUS
92121,25470910,DFS,DFS
92157,H8498910,TEL,TEL
92239,20605P10,CXO,CXO
92322,90384S30,ULTA,ULTA
92389,29275620,ES,ES
92402,55354G10,MSCI,MSCI
92602,71817210,PM,PM
92611,92826C83,V,V
92614,3042010,AWK,AWK
92624,64118K20,FRC,FRC
92655,91324P10,UNH,UNH
92778,25470F30,DISCK,DISCK
93002,11135F10,AVGO,AVGO
93089,92345Y10,VRSK,VRSK
93096,25667710,DG,DG
93132,3.50E+14,FTNT,FTNT
93429,12503M10,CBOE,CBOE
93436,88160R10,TSLA,TSLA
65947,95040Q10,HCN,WELL
83443,8467070,BRK,BRK.B
29946,11563720,BF,BF.B
